"address","name","kind","size","device_id","data_type","scale_factor","unit","tags"   
"1483","HREG_01483_SEL_751_4_IB","holding","1","1","int16","0.01","A","main-sel-751"
"1484","HREG_01484_SEL_751_4_IC","holding","1","1","int16","0.01","A","main-sel-751"
"1485","HREG_01485_SEL_751_4_IG","holding","1","1","int16","0.01","A","main-sel-751"
"1486","HREG_01486_SEL_751_4_IN","holding","1","1","int16","0.01","A","main-sel-751"
"1487","HREG_01487_SEL_751_4_P","holding","1","1","int32","1.0","W","main-sel-751"
"1488","HREG_01488_SEL_751_4_PF","holding","1","1","int16","0.001","","main-sel-751"
"1489","HREG_01489_SEL_751_4_Q","holding","1","1","int32","1.0","VAR","main-sel-751"
"1490","HREG_01490_SEL_751_4_S","holding","1","1","int32","1.0","VA","main-sel-751"
"1491","HREG_01491_SEL_751_4_VAB","holding","1","1","uint16","0.1","V","main-sel-751"
"1492","HREG_01492_SEL_751_4_VBC","holding","1","1","uint16","0.1","V","main-sel-751"
"1493","HREG_01493_SEL_751_4_VCA","holding","1","1","uint16","0.1","V","main-sel-751"
"1494","HREG_01494_SEL_751_4_VDC","holding","1","1","uint16","0.1","V","main-sel-751"
"1495","HREG_01495_SEL_751_4_VS","holding","1","1","uint16","0.1","V","main-sel-751"
